P;N;B;R;Q;K;p;n;b;r;q;k;score;draw;fen
65280;66;36;129;8;16;71776119061217280;4755801206503243776;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;31;1;rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
134280960;66;36;129;8;16;71776119061217280;4755801206503243776;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;-34;1;rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1
134280960;66;36;129;8;16;71776119061217280;144150372447944704;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;35;1;rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2
134280960;2097154;36;129;8;16;71776119061217280;144150372447944704;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;-27;1;rnbqkb1r/pppppppp/5n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 2
134280960;2097154;36;129;8;16;53832089295912960;144150372447944704;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;37;1;rnbqkb1r/pppppp1p/5np1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3
134280960;2097154;274877906976;129;8;16;53832089295912960;144150372447944704;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;0;1;rnbqkb1r/pppppp1p/5np1/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3
134280960;2097154;274877906976;129;8;16;53832089295912960;144150372447944704;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;13;1;rnbqk2r/ppppppbp/5np1/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 4
134280960;2099200;274877906976;129;8;16;53832089295912960;144150372447944704;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;-4;1;rnbqk2r/ppppppbp/5np1/6B1/3P4/5N2/PPPNPPPP/R2QKB1R b KQkq - 3 4
134280960;2099200;274877906976;129;8;16;51589085575249920;144150372447944704;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;18;1;rnbqk2r/ppp1ppbp/3p1np1/6B1/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq - 0 5
135325440;2099200;274877906976;129;8;16;51589085575249920;144150372447944704;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;-5;1;rnbqk2r/ppp1ppbp/3p1np1/6B1/3P4/4PN2/PPPN1PPP/R2QKB1R b KQkq - 0 5
135325440;2099200;274877906976;129;8;16;51589085575249920;144150372447944704;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;4;1;rnbq1rk1/ppp1ppbp/3p1np1/6B1/3P4/4PN2/PPPN1PPP/R2QKB1R w KQ - 1 6
135325440;2099200;274878431232;129;8;16;51589085575249920;144150372447944704;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;7;1;rnbq1rk1/ppp1ppbp/3p1np1/6B1/3P4/3BPN2/PPPN1PPP/R2QK2R b KQ - 2 6
135325440;2099200;274878431232;129;8;16;15701026044641280;144150372447944704;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;-4;1;rnbq1rk1/ppp1ppb1/3p1npp/6B1/3P4/3BPN2/PPPN1PPP/R2QK2R w KQ - 0 7
135325440;2099200;2148007936;129;8;16;15701026044641280;144150372447944704;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;7;1;rnbq1rk1/ppp1ppb1/3p1npp/8/3P3B/3BPN2/PPPN1PPP/R2QK2R b KQ - 1 7
135325440;2099200;2148007936;129;8;16;15630932178370560;144150372447944704;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;23;1;rnbq1rk1/ppp1ppb1/3p1n1p/6p1/3P3B/3BPN2/PPPN1PPP/R2QK2R w KQ - 0 8
135325440;2099200;4718592;129;8;16;15630932178370560;144150372447944704;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;-18;1;rnbq1rk1/ppp1ppb1/3p1n1p/6p1/3P4/3BPNB1/PPPN1PPP/R2QK2R b KQ - 1 8
135325440;2099200;4718592;129;8;16;15630932178370560;144115737831669760;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;200;0;rnbq1rk1/ppp1ppb1/3p3p/6pn/3P4/3BPNB1/PPPN1PPP/R2QK2R w KQ - 2 9
135325440;2099200;4718592;33;8;64;15630932178370560;144115737831669760;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;-14;1;rnbq1rk1/ppp1ppb1/3p3p/6pn/3P4/3BPNB1/PPPN1PPP/R2Q1RK1 b - - 3 9
135325440;2099200;524288;33;8;64;15630932178370560;144115188080050176;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;32;1;rnbq1rk1/ppp1ppb1/3p3p/6p1/3P4/3BPNn1/PPPN1PPP/R2Q1RK1 w - - 0 10
139486976;2099200;524288;33;8;64;15630932178370560;144115188075855872;306244774661193728;2377900603251621888;576460752303423488;4611686018427387904;-24;1;rnbq1rk1/ppp1ppb1/3p3p/6p1/3P4/3BPNP1/PPPN1PP1/R2Q1RK1 b - - 0 10
139486976;2099200;524288;33;8;64;15630932178370560;144115188075855872;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;58;0;rn1q1rk1/ppp1ppb1/3p3p/6p1/3P2b1/3BPNP1/PPPN1PP1/R2Q1RK1 w - - 1 11
139748096;2099200;524288;33;8;64;15630932178370560;144115188075855872;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;-58;0;rn1q1rk1/ppp1ppb1/3p3p/6p1/3P2b1/2PBPNP1/PP1N1PP1/R2Q1RK1 b - - 0 11
139748096;2099200;524288;33;8;64;14505049451397120;144115188075855872;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;58;0;rn1q1rk1/pp2ppb1/3p3p/2p3p1/3P2b1/2PBPNP1/PP1N1PP1/R2Q1RK1 w - - 0 12
156525056;2099200;524288;33;8;64;14505049451397120;144115188075855872;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;-30;1;rn1q1rk1/pp2ppb1/3p3p/2p3p1/P2P2b1/2PBPNP1/1P1N1PP1/R2Q1RK1 b - - 0 12
156525056;2099200;524288;33;8;64;14505049451397120;4398046511104;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;76;0;r2q1rk1/pp2ppb1/2np3p/2p3p1/P2P2b1/2PBPNP1/1P1N1PP1/R2Q1RK1 w - - 1 13
156525056;2099200;524288;17;8;64;14505049451397120;4398046511104;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;-52;0;r2q1rk1/pp2ppb1/2np3p/2p3p1/P2P2b1/2PBPNP1/1P1N1PP1/R2QR1K1 b - - 2 13
156525056;2099200;524288;17;8;64;10001518543503360;4398046511104;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;135;0;r2q1rk1/pp3pb1/2np3p/2p1p1p1/P2P2b1/2PBPNP1/1P1N1PP1/R2QR1K1 w - - 0 14
68741784064;2099200;524288;17;8;64;10001449824026624;4398046511104;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;-46;1;r2q1rk1/pp3pb1/2np3p/2p1P1p1/P5b1/2PBPNP1/1P1N1PP1/R2QR1K1 b - - 0 14
22307328;2099200;524288;17;8;64;10001449824026624;68719476736;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;39;1;r2q1rk1/pp3pb1/3p3p/2p1n1p1/P5b1/2PBPNP1/1P1N1PP1/R2QR1K1 w - - 0 15
22307328;2099200;4096;17;8;64;10001449824026624;68719476736;18014399583223808;2377900603251621888;576460752303423488;4611686018427387904;-30;1;r2q1rk1/pp3pb1/3p3p/2p1n1p1/P5b1/2P1PNP1/1P1NBPP1/R2QR1K1 b - - 1 15
22307328;2099200;4096;17;8;64;10001449824026624;68719476736;18031990695526400;2377900603251621888;576460752303423488;4611686018427387904;96;0;r2q1rk1/pp3pb1/3pb2p/2p1n1p1/P7/2P1PNP1/1P1NBPP1/R2QR1K1 w - - 2 16
4300497408;2099200;4096;17;8;64;10001449824026624;68719476736;18031990695526400;2377900603251621888;576460752303423488;4611686018427387904;6;1;r2q1rk1/pp3pb1/3pb2p/P1p1n1p1/8/2P1PNP1/1P1NBPP1/R2QR1K1 b - - 0 16
4300497408;2099200;4096;17;8;64;10001449824026624;4398046511104;18031990695526400;2377900603251621888;576460752303423488;4611686018427387904;27;1;r2q1rk1/pp3pb1/2npb2p/P1p3p1/8/2P1PNP1/1P1NBPP1/R2QR1K1 w - - 1 17
4300497408;2099200;4096;17;16777216;64;10001449824026624;4398046511104;18031990695526400;2377900603251621888;576460752303423488;4611686018427387904;-17;1;r2q1rk1/pp3pb1/2npb2p/P1p3p1/Q7/2P1PNP1/1P1NBPP1/R3R1K1 b - - 2 17
4300497408;2099200;4096;17;16777216;64;10001449824026624;4398046511104;18031990695526400;2377900603251621888;1125899906842624;4611686018427387904;57;0;r4rk1/ppq2pb1/2npb2p/P1p3p1/Q7/2P1PNP1/1P1NBPP1/R3R1K1 w - - 3 18
1099517157888;2099200;4096;17;16777216;64;10001449824026624;4398046511104;18031990695526400;2377900603251621888;1125899906842624;4611686018427387904;10;1;r4rk1/ppq2pb1/P1npb2p/2p3p1/Q7/2P1PNP1/1P1NBPP1/R3R1K1 b - - 0 18
1099517157888;2099200;4096;17;16777216;64;9440698893860864;4398046511104;18031990695526400;2377900603251621888;1125899906842624;4611686018427387904;75;0;r4rk1/p1q2pb1/Ppnpb2p/2p3p1/Q7/2P1PNP1/1P1NBPP1/R3R1K1 w - - 0 19
1099517157888;2099200;8589934592;17;16777216;64;9440698893860864;4398046511104;18031990695526400;2377900603251621888;1125899906842624;4611686018427387904;-78;0;r4rk1/p1q2pb1/Ppnpb2p/1Bp3p1/Q7/2P1PNP1/1P1N1PP1/R3R1K1 b - - 1 19
1099517157888;2099200;8589934592;17;16777216;64;9440698893860864;4398046511104;18031990695526400;2594073385365405696;1125899906842624;4611686018427387904;104;0;2r2rk1/p1q2pb1/Ppnpb2p/1Bp3p1/Q7/2P1PNP1/1P1N1PP1/R3R1K1 w - - 2 20
1099517157888;2099200;8589934592;24;16777216;64;9440698893860864;4398046511104;18031990695526400;2594073385365405696;1125899906842624;4611686018427387904;26;1;2r2rk1/p1q2pb1/Ppnpb2p/1Bp3p1/Q7/2P1PNP1/1P1N1PP1/3RR1K1 b - - 3 20
1099517157888;2099200;8589934592;24;16777216;64;9431937160577024;4398046511104;18031990695526400;2594073385365405696;1125899906842624;4611686018427387904;-18;1;2r2rk1/p1q2pb1/Ppn1b2p/1Bpp2p1/Q7/2P1PNP1/1P1N1PP1/3RR1K1 w - - 0 21
1099784544768;2099200;8589934592;24;16777216;64;9431937160577024;4398046511104;18031990695526400;2594073385365405696;1125899906842624;4611686018427387904;19;1;2r2rk1/p1q2pb1/Ppn1b2p/1Bpp2p1/Q3P3/2P2NP1/1P1N1PP1/3RR1K1 b - - 0 21
1099784544768;2099200;8589934592;24;16777216;64;9431937160577024;4398046511104;18031990695526400;864691128455135232;1125899906842624;4611686018427387904;130;0;2rr2k1/p1q2pb1/Ppn1b2p/1Bpp2p1/Q3P3/2P2NP1/1P1N1PP1/3RR1K1 w - - 1 22
1133875847680;2099200;8589934592;24;16777216;64;9431902800838656;4398046511104;18031990695526400;864691128455135232;1125899906842624;4611686018427387904;-115;0;2rr2k1/p1q2pb1/Ppn1b2p/1BpP2p1/Q7/2P2NP1/1P1N1PP1/3RR1K1 b - - 0 22
1099516109312;2099200;8589934592;24;16777216;64;9431902800838656;4398046511104;18014432869220352;864691128455135232;1125899906842624;4611686018427387904;132;0;2rr2k1/p1q2pb1/Ppn4p/1Bpb2p1/Q7/2P2NP1/1P1N1PP1/3RR1K1 w - - 0 23
1099516109312;69206016;8589934592;24;16777216;64;9431902800838656;4398046511104;18014432869220352;864691128455135232;1125899906842624;4611686018427387904;-133;0;2rr2k1/p1q2pb1/Ppn4p/1Bpb2p1/Q1N5/2P2NP1/1P3PP1/3RR1K1 b - - 1 23
1099516109312;69206016;8589934592;24;16777216;64;9431902800838656;4503599627370496;18014432869220352;864691128455135232;1125899906842624;4611686018427387904;153;0;2rr2k1/p1q1npb1/Pp5p/1Bpb2p1/Q1N5/2P2NP1/1P3PP1/3RR1K1 w - - 2 24
1100585656832;69206016;8589934592;24;16777216;64;9431902800838656;4503599627370496;18014432869220352;864691128455135232;1125899906842624;4611686018427387904;-42;1;2rr2k1/p1q1npb1/Pp5p/1Bpb2p1/Q1N3P1/2P2N2/1P3PP1/3RR1K1 b - - 0 24
